# this file contains the average of dx^2, dy^2, and dz^2 of the particle ensemble over time
# number of particles: 2000

time,x,y,z
+1.920000e-13,+1.062232e-16,+6.263732e-17,+9.233257e-17
+1.930000e-13,+1.060360e-16,+6.301412e-17,+9.266574e-17
+1.940000e-13,+1.064185e-16,+6.310611e-17,+9.288935e-17
+1.950000e-13,+1.067564e-16,+6.316995e-17,+9.391208e-17
+1.960000e-13,+1.068927e-16,+6.338748e-17,+9.373988e-17
+1.970000e-13,+1.078530e-16,+6.434374e-17,+9.472336e-17
+1.980000e-13,+1.091447e-16,+6.490617e-17,+9.482338e-17
+1.990000e-13,+1.101536e-16,+6.509276e-17,+9.574054e-17
+2.000000e-13,+1.107054e-16,+6.513956e-17,+9.584969e-17
+2.010000e-13,+1.114507e-16,+6.557094e-17,+9.557818e-17
+2.020000e-13,+1.114838e-16,+6.568718e-17,+9.602642e-17
+2.030000e-13,+1.116390e-16,+6.582549e-17,+9.726580e-17
+2.040000e-13,+1.126432e-16,+6.563552e-17,+9.843867e-17
+2.050000e-13,+1.129483e-16,+6.580606e-17,+9.884419e-17
+2.060000e-13,+1.133460e-16,+6.644383e-17,+9.979487e-17
+2.070000e-13,+1.142594e-16,+6.740549e-17,+9.895312e-17
+2.080000e-13,+1.160388e-16,+6.791067e-17,+9.908706e-17
+2.090000e-13,+1.156178e-16,+6.849212e-17,+9.986119e-17
+2.100000e-13,+1.161175e-16,+6.753373e-17,+1.006518e-16
+2.110000e-13,+1.153182e-16,+6.775481e-17,+1.002393e-16
+2.120000e-13,+1.154226e-16,+6.776505e-17,+1.006063e-16
+2.130000e-13,+1.161900e-16,+6.829181e-17,+1.015219e-16
+2.140000e-13,+1.165768e-16,+6.834525e-17,+1.013634e-16
+2.150000e-13,+1.169865e-16,+6.839310e-17,+1.020957e-16
+2.160000e-13,+1.173668e-16,+6.870612e-17,+1.026753e-16
+2.170000e-13,+1.177375e-16,+6.895696e-17,+1.029682e-16
+2.180000e-13,+1.181411e-16,+6.929851e-17,+1.029209e-16
+2.190000e-13,+1.176379e-16,+6.961292e-17,+1.029771e-16
+2.200000e-13,+1.187287e-16,+6.962240e-17,+1.036226e-16
+2.210000e-13,+1.191550e-16,+6.960119e-17,+1.043372e-16
+2.220000e-13,+1.191965e-16,+6.918597e-17,+1.045278e-16
+2.230000e-13,+1.191803e-16,+6.975098e-17,+1.052326e-16
+2.240000e-13,+1.191994e-16,+7.008939e-17,+1.057782e-16
+2.250000e-13,+1.197781e-16,+7.051722e-17,+1.064870e-16
+2.260000e-13,+1.196264e-16,+7.126309e-17,+1.062665e-16
+2.270000e-13,+1.203154e-16,+7.241862e-17,+1.073012e-16
+2.280000e-13,+1.199074e-16,+7.282404e-17,+1.083046e-16
+2.290000e-13,+1.197889e-16,+7.282332e-17,+1.088066e-16
+2.300000e-13,+1.196337e-16,+7.312114e-17,+1.099054e-16
+2.310000e-13,+1.209887e-16,+7.328697e-17,+1.098549e-16
+2.320000e-13,+1.207071e-16,+7.358318e-17,+1.105285e-16
+2.330000e-13,+1.218840e-16,+7.339000e-17,+1.107612e-16
+2.340000e-13,+1.225608e-16,+7.324388e-17,+1.114674e-16
+2.350000e-13,+1.224338e-16,+7.383288e-17,+1.126994e-16
+2.360000e-13,+1.226760e-16,+7.452253e-17,+1.136749e-16
+2.370000e-13,+1.229911e-16,+7.511383e-17,+1.146228e-16
+2.380000e-13,+1.231029e-16,+7.514159e-17,+1.150117e-16
+2.390000e-13,+1.238810e-16,+7.538959e-17,+1.154593e-16
+2.400000e-13,+1.247156e-16,+7.558559e-17,+1.166379e-16
+2.410000e-13,+1.254479e-16,+7.609581e-17,+1.174031e-16
+2.420000e-13,+1.260258e-16,+7.600692e-17,+1.182188e-16
+2.430000e-13,+1.263511e-16,+7.610686e-17,+1.179718e-16
+2.440000e-13,+1.264402e-16,+7.671232e-17,+1.187115e-16
+2.450000e-13,+1.280590e-16,+7.797154e-17,+1.197173e-16
+2.460000e-13,+1.285774e-16,+7.832691e-17,+1.201478e-16
+2.470000e-13,+1.294518e-16,+7.910623e-17,+1.211170e-16
+2.480000e-13,+1.298454e-16,+7.938922e-17,+1.217734e-16
+2.490000e-13,+1.295942e-16,+7.905151e-17,+1.217829e-16
+2.500000e-13,+1.295048e-16,+7.924783e-17,+1.219046e-16
+2.510000e-13,+1.298775e-16,+7.986111e-17,+1.218328e-16
+2.520000e-13,+1.297504e-16,+7.995509e-17,+1.229568e-16
+2.530000e-13,+1.304138e-16,+8.056845e-17,+1.235774e-16
+2.540000e-13,+1.303279e-16,+8.110416e-17,+1.232644e-16
+2.550000e-13,+1.309275e-16,+8.188628e-17,+1.243374e-16
+2.560000e-13,+1.319864e-16,+8.193945e-17,+1.247646e-16
+2.570000e-13,+1.324471e-16,+8.212645e-17,+1.258392e-16
+2.580000e-13,+1.321278e-16,+8.247442e-17,+1.276412e-16
+2.590000e-13,+1.323117e-16,+8.279033e-17,+1.284266e-16
+2.600000e-13,+1.336843e-16,+8.300840e-17,+1.287536e-16
+2.610000e-13,+1.339176e-16,+8.310723e-17,+1.293158e-16
+2.620000e-13,+1.347331e-16,+8.359940e-17,+1.295973e-16
+2.630000e-13,+1.337312e-16,+8.315725e-17,+1.296576e-16
+2.640000e-13,+1.345014e-16,+8.260310e-17,+1.298247e-16
+2.650000e-13,+1.341418e-16,+8.277069e-17,+1.302373e-16
+2.660000e-13,+1.342957e-16,+8.264209e-17,+1.293153e-16
+2.670000e-13,+1.342432e-16,+8.251250e-17,+1.294635e-16
+2.680000e-13,+1.356558e-16,+8.247857e-17,+1.293635e-16
+2.690000e-13,+1.363330e-16,+8.260381e-17,+1.303566e-16
+2.700000e-13,+1.373065e-16,+8.266167e-17,+1.325216e-16
+2.710000e-13,+1.372897e-16,+8.299335e-17,+1.329353e-16
+2.720000e-13,+1.375340e-16,+8.289333e-17,+1.334109e-16
+2.730000e-13,+1.385641e-16,+8.299358e-17,+1.341971e-16
+2.740000e-13,+1.384822e-16,+8.354926e-17,+1.353183e-16
+2.750000e-13,+1.387788e-16,+8.400843e-17,+1.365919e-16
+2.760000e-13,+1.393554e-16,+8.389240e-17,+1.374661e-16
+2.770000e-13,+1.394588e-16,+8.371987e-17,+1.382833e-16
+2.780000e-13,+1.398418e-16,+8.384034e-17,+1.392602e-16
+2.790000e-13,+1.401993e-16,+8.409294e-17,+1.396343e-16
+2.800000e-13,+1.407853e-16,+8.466303e-17,+1.403815e-16
+2.810000e-13,+1.414815e-16,+8.461308e-17,+1.404413e-16
+2.820000e-13,+1.414901e-16,+8.500319e-17,+1.411316e-16
+2.830000e-13,+1.418525e-16,+8.527685e-17,+1.417700e-16
+2.840000e-13,+1.415850e-16,+8.536180e-17,+1.423034e-16
+2.850000e-13,+1.427651e-16,+8.555172e-17,+1.432432e-16
+2.860000e-13,+1.432664e-16,+8.676306e-17,+1.426319e-16
+2.870000e-13,+1.430187e-16,+8.685848e-17,+1.431516e-16
+2.880000e-13,+1.423845e-16,+8.779865e-17,+1.438681e-16
+2.890000e-13,+1.428111e-16,+8.760999e-17,+1.437536e-16
+2.900000e-13,+1.429902e-16,+8.784867e-17,+1.440284e-16
+2.910000e-13,+1.431357e-16,+8.790951e-17,+1.444995e-16
+2.920000e-13,+1.441056e-16,+8.814286e-17,+1.443731e-16
+2.930000e-13,+1.444601e-16,+8.830025e-17,+1.441913e-16
+2.940000e-13,+1.454707e-16,+8.893483e-17,+1.446366e-16
+2.950000e-13,+1.464915e-16,+8.878001e-17,+1.455968e-16
+2.960000e-13,+1.462382e-16,+8.933810e-17,+1.454817e-16
+2.970000e-13,+1.476481e-16,+8.963928e-17,+1.450932e-16
+2.980000e-13,+1.481575e-16,+9.047346e-17,+1.460768e-16
+2.990000e-13,+1.494315e-16,+9.043490e-17,+1.481344e-16
+3.000000e-13,+1.495867e-16,+9.039868e-17,+1.490935e-16
+3.010000e-13,+1.502627e-16,+9.157661e-17,+1.494923e-16
+3.020000e-13,+1.510170e-16,+9.202728e-17,+1.501394e-16
+3.030000e-13,+1.510087e-16,+9.170344e-17,+1.507557e-16
+3.040000e-13,+1.510284e-16,+9.150646e-17,+1.507719e-16
+3.050000e-13,+1.524784e-16,+9.154710e-17,+1.514116e-16
+3.060000e-13,+1.531773e-16,+9.248252e-17,+1.528832e-16
+3.070000e-13,+1.538272e-16,+9.328489e-17,+1.534939e-16
+3.080000e-13,+1.541737e-16,+9.342397e-17,+1.542258e-16
+3.090000e-13,+1.540317e-16,+9.346295e-17,+1.540187e-16
+3.100000e-13,+1.546383e-16,+9.390318e-17,+1.546086e-16
+3.110000e-13,+1.549909e-16,+9.357588e-17,+1.543829e-16
